1, 1, 50, 0, 2,  0.48,  0.48,  0.50,  0.50, 
2, 1, 50, 0, 8,  0.96,  0.96,  0.12,  0.12, 
3, 1, 50, 0, 16,  1.44,  1.44,  0.06,  0.06, 
4, 1, 50, 0, 32,  1.76,  1.76,  0.03,  0.03, 
5, 1, 50, 100, 2,  2.24,  2.24,  0.50,  0.50, 
6, 1, 50, 100, 8,  2.72,  2.72,  0.12,  0.12, 
7, 1, 50, 100, 16,  3.20,  3.20,  0.06,  0.06, 
8, 1, 50, 100, 32,  3.52,  3.52,  0.03,  0.03, 
9, 1, 250, 0, 2,  4.02,  4.02,  0.50,  0.50, 
10, 1, 250, 0, 8,  4.50,  4.50,  0.12,  0.12, 
11, 1, 250, 0, 16,  4.98,  4.98,  0.06,  0.06, 
12, 1, 250, 0, 32,  5.30,  5.30,  0.03,  0.03, 
13, 1, 250, 100, 2,  5.80,  5.80,  0.50,  0.50, 
14, 1, 250, 100, 8,  6.28,  6.28,  0.12,  0.12, 
15, 1, 250, 100, 16,  6.76,  6.76,  0.06,  0.06, 
16, 1, 250, 100, 32,  7.08,  7.08,  0.03,  0.03, 
17, 1, 500, 0, 2,  7.57,  7.57,  0.50,  0.50, 
18, 1, 500, 0, 8,  8.05,  8.05,  0.12,  0.12, 
19, 1, 500, 0, 16,  8.53,  8.53,  0.06,  0.06, 
20, 1, 500, 0, 32,  8.85,  8.85,  0.03,  0.03, 
21, 1, 500, 100, 2,  9.33,  9.33,  0.50,  0.50, 
22, 1, 500, 100, 8,  9.82,  9.82,  0.12,  0.12, 
23, 1, 500, 100, 16, 10.30, 10.30,  0.06,  0.06, 
24, 1, 500, 100, 32, 10.62, 10.62,  0.03,  0.03, 
25, 1, 1000, 0, 2, 11.10, 10.94,  0.50,  0.50, 
26, 1, 1000, 0, 8, 11.59, 11.43,  0.12,  0.12, 
27, 1, 1000, 0, 16, 12.08, 11.92,  0.06,  0.06, 
28, 1, 1000, 0, 32, 12.24, 12.08,  0.03,  0.03, 
29, 1, 1000, 100, 2, 12.62, 12.46,  0.50,  0.50, 
30, 1, 1000, 100, 8, 13.10, 12.94,  0.12,  0.12, 
31, 1, 1000, 100, 16, 13.42, 13.26,  0.06,  0.06, 
32, 1, 1000, 100, 32, 13.58, 13.42,  0.03,  0.03, 
33, 56, 50, 0, 2, 64.91, 65.39,  0.50,  0.50, 
34, 56, 50, 0, 8,106.77,110.00,  0.12,  0.12, 
35, 56, 50, 0, 16,147.75,149.06,  0.06,  0.06, 
36, 56, 50, 0, 32,186.19,188.31,  0.03,  0.03, 
37, 56, 50, 100, 2,223.05,224.84,  0.50,  0.50, 
38, 56, 50, 100, 8,266.65,271.14,  0.12,  0.12, 
39, 56, 50, 100, 16,305.12,313.46,  0.06,  0.06, 
40, 56, 50, 100, 32,340.18,352.51,  0.03,  0.03, 
41, 56, 250, 0, 2,366.06,401.74,  0.50,  0.50, 
42, 56, 250, 0, 8,413.17,451.43,  0.12,  0.12, 
43, 56, 250, 0, 16,454.05,488.42,  0.06,  0.06, 
44, 56, 250, 0, 32,491.86,529.95,  0.03,  0.03, 
45, 56, 250, 100, 2,540.85,578.94,  0.50,  0.50, 
46, 56, 250, 100, 8,588.28,626.22,  0.12,  0.12, 
47, 56, 250, 100, 16,632.75,674.21,  0.06,  0.06, 
48, 56, 250, 100, 32,668.02,712.83,  0.03,  0.03, 
49, 56, 500, 0, 2,703.77,748.58,  0.50,  0.50, 
50, 56, 500, 0, 8,748.27,794.87,  0.12,  0.12, 
51, 56, 500, 0, 16,792.34,840.94,  0.06,  0.06, 
52, 56, 500, 0, 32,832.17,880.75,  0.03,  0.03, 
53, 56, 500, 100, 2,876.49,925.08,  0.50,  0.50, 
54, 56, 500, 100, 8,920.19,970.05,  0.12,  0.12, 
55, 56, 500, 100, 16,959.97,1014.33,  0.06,  0.06, 
56, 56, 500, 100, 32,995.42,1054.73,  0.03,  0.03, 
57, 56, 1000, 0, 2,1039.17,1098.49,  0.50,  0.50, 
58, 56, 1000, 0, 8,1072.56,1139.39,  0.12,  0.12, 
59, 56, 1000, 0, 16,1113.64,1185.07,  0.06,  0.06, 
60, 56, 1000, 0, 32,1152.91,1228.02,  0.03,  0.03, 
61, 56, 1000, 100, 2,1195.15,1270.25,  0.50,  0.50, 
62, 56, 1000, 100, 8,1224.88,1305.95,  0.12,  0.12, 
63, 56, 1000, 100, 16,1252.47,1348.73,  0.06,  0.06, 
64, 56, 1000, 100, 32,1281.37,1385.12,  0.03,  0.03, 
65, 128, 50, 0, 2,1387.42,1506.86,  0.50,  0.50, 
66, 128, 50, 0, 8,1500.42,1621.33,  0.12,  0.12, 
67, 128, 50, 0, 16,1606.34,1732.71,  0.06,  0.06, 
68, 128, 50, 0, 32,1710.70,1843.64,  0.03,  0.03, 
69, 128, 50, 100, 2,1814.09,1931.01,  0.50,  0.50, 
70, 128, 50, 100, 8,1894.00,2025.51,  0.12,  0.12, 
71, 128, 50, 100, 16,1976.09,2133.69,  0.06,  0.06, 
72, 128, 50, 100, 32,2066.74,2240.18,  0.03,  0.03, 
73, 128, 250, 0, 2,2174.75,2354.23,  0.50,  0.50, 
74, 128, 250, 0, 8,2283.00,2470.94,  0.12,  0.12, 
75, 128, 250, 0, 16,2393.89,2585.17,  0.06,  0.06, 
76, 128, 250, 0, 32,2494.70,2693.19,  0.03,  0.03, 
77, 128, 250, 100, 2,2595.72,2810.69,  0.50,  0.50, 
78, 128, 250, 100, 8,2663.22,2897.90,  0.12,  0.12, 
79, 128, 250, 100, 16,2765.65,3006.14,  0.06,  0.06, 
80, 128, 250, 100, 32,2855.93,3108.42,  0.03,  0.03, 
81, 128, 500, 0, 2,2946.17,3198.29,  0.50,  0.50, 
82, 128, 500, 0, 8,3053.60,3314.73,  0.12,  0.12, 
83, 128, 500, 0, 16,3160.67,3423.34,  0.06,  0.06, 
84, 128, 500, 0, 32,3266.65,3528.20,  0.03,  0.03, 
85, 128, 500, 100, 2,3334.88,3639.74,  0.50,  0.50, 
86, 128, 500, 100, 8,3430.78,3743.69,  0.12,  0.12, 
87, 128, 500, 100, 16,3528.83,3852.74,  0.06,  0.06, 
88, 128, 500, 100, 32,3614.45,3958.02,  0.03,  0.03, 
89, 128, 1000, 0, 2,3671.44,4014.69,  0.50,  0.50, 
90, 128, 1000, 0, 8,3773.79,4112.20,  0.12,  0.12, 
91, 128, 1000, 0, 16,3875.18,4217.27,  0.06,  0.06, 
92, 128, 1000, 0, 32,3978.15,4326.13,  0.03,  0.03, 
93, 128, 1000, 100, 2,4041.89,4406.31,  0.50,  0.50, 
94, 128, 1000, 100, 8,4126.23,4498.59,  0.12,  0.12, 
95, 128, 1000, 100, 16,4208.10,4585.55,  0.06,  0.06, 
96, 128, 1000, 100, 32,4294.57,4671.19,  0.03,  0.03, 
97, 256, 50, 0, 2,4506.29,4905.46,  0.50,  0.50, 
98, 256, 50, 0, 8,4743.72,5144.53,  0.12,  0.12, 
99, 256, 50, 0, 16,4971.64,5377.39,  0.06,  0.06, 
100, 256, 50, 0, 32,5196.56,5605.77,  0.03,  0.03, 
101, 256, 50, 100, 2,5423.42,5849.56,  0.50,  0.50, 
102, 256, 50, 100, 8,5649.52,6068.87,  0.12,  0.12, 
103, 256, 50, 100, 16,5867.49,6296.27,  0.06,  0.06, 
104, 256, 50, 100, 32,6081.11,6516.01,  0.03,  0.03, 
105, 256, 250, 0, 2,6276.37,6740.98,  0.50,  0.50, 
106, 256, 250, 0, 8,6504.40,6969.53,  0.12,  0.12, 
107, 256, 250, 0, 16,6739.16,7207.30,  0.06,  0.06, 
108, 256, 250, 0, 32,6962.96,7443.52,  0.03,  0.03, 
109, 256, 250, 100, 2,7176.86,7677.61,  0.50,  0.50, 
110, 256, 250, 100, 8,7333.92,7877.88,  0.12,  0.12, 
111, 256, 250, 100, 16,7548.05,8092.66,  0.06,  0.06, 
112, 256, 250, 100, 32,7737.87,8309.49,  0.03,  0.03, 
113, 256, 500, 0, 2,7927.15,8529.45,  0.50,  0.50, 
114, 256, 500, 0, 8,8154.11,8761.01,  0.12,  0.12, 
